"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
110,"adult-psp.com",963,-1,1,2,18970,53859,39899,07/03/2008 00:00,10/08/2013 00:00,"66.254.117.17","66.254.117.0","US","com",26,8,2,07/07/2012 00:00,07/07/2012 00:00
111,"rwsop.com",5391,-1,1,2,2345216,98946,46903,24/03/2008 00:00,10/08/2013 00:00,"184.168.166.1","184.168.166.0","US","com",22,16,2,18/07/2012 00:00,01/08/2012 00:00
112,"polustrovo.net",1985,-1,1,2,20146,287452,118640,31/01/2008 00:00,10/08/2013 00:00,"84.204.225.3","84.204.225.0","RU","net",26,15,2,26/04/2012 00:00,01/08/2012 00:00
113,"pib.com.br",2586,-1,1,2,36093,156444,63087,31/01/2008 00:00,10/08/2013 00:00,"200.194.176.25","200.194.176.0","BR","br",18,12,2,13/06/2012 00:00,13/06/2012 00:00
114,"cskin.cn",7231,-1,1,2,91638,180688,75996,11/01/2008 00:00,10/08/2013 00:00,"183.60.158.7","183.60.158.0","CN","cn",22,10,2,26/07/2012 00:00,26/07/2012 00:00
115,"amsud.net",287,-1,1,2,32273,18698,9466,06/12/2008 00:00,12/02/2013 00:00,"87.98.135.167","87.98.135.0","FR","net",11,18,2,22/04/2012 00:00,27/07/2012 00:00
116,"luchtop.nl",3930,-1,1,2,33756,52574,15334,31/01/2008 00:00,01/02/2013 00:00,"83.137.194.21","83.137.194.0","NL","nl",10,2,2,13/05/2012 00:00,13/05/2012 00:00
117,"habanerotours.de",756,-1,1,2,8161,76023,30249,24/07/2009 00:00,10/08/2013 00:00,"87.106.153.186","87.106.153.0","DE","de",21,3,2,01/08/2013 00:00,01/08/2013 00:00
118,"web3.nl",6313,-1,1,2,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,2,24/04/2012 00:00,15/07/2013 00:00
119,"4myhometown.com",936,-1,1,2,28979,1947,1866,19/06/2012 00:00,10/08/2013 00:00,"184.168.249.1","184.168.249.0","US","com",21,6,2,12/06/2012 00:00,19/06/2012 00:00
120,"actstaffing.com",218,-1,1,2,1585,60060,38847,29/04/2008 00:00,10/08/2013 00:00,"66.77.185.150","66.77.185.0","US","com",7,3,2,28/02/2013 00:00,28/02/2013 00:00
121,"hqsocken.de",1929,-1,1,2,11350,44809,24203,13/07/2008 00:00,18/07/2013 00:00,"87.238.192.101","87.238.192.0","DE","de",13,2,2,01/08/2012 00:00,22/12/2012 00:00
122,"ambl.org",1242,-1,1,2,41511,143138,73463,18/06/2008 00:00,10/08/2013 00:00,"74.208.24.175","74.208.24.0","US","org",13,4,2,30/07/2012 00:00,25/05/2013 00:00
123,"502hollywood.com",480,-1,1,2,1921,4204,1913,28/12/2010 00:00,10/08/2013 00:00,"184.168.192.4","184.168.192.0","US","com",19,9,2,06/04/2012 00:00,06/04/2012 00:00
124,"alkhansagsm.com",4953,-1,1,2,46975,1117424,225216,24/07/2008 00:00,10/08/2013 00:00,"97.74.144.174","97.74.144.0","US","com",37,11,2,13/06/2012 00:00,18/07/2012 00:00
125,"abogadosmilitares.com",50,-1,1,2,1777,61139,37298,01/03/2013 00:00,10/08/2013 00:00,"93.174.4.54","93.174.4.0","ES","com",11,1,2,01/05/2013 00:00,01/05/2013 00:00
