"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
112,"allstays.com",12828,105952,1,2,6310790,19236031,1499948,09/01/2008 00:00,10/08/2013 00:00,"66.39.146.185","66.39.146.0","US","com",42,28,2,28/10/2011 00:00,24/05/2012 00:00
113,"lcsun-news.com",70723,134609,1,2,4259222,19200341,1598058,09/01/2008 00:00,10/08/2013 00:00,"90.84.50.137","90.84.50.0","FR","com",47,47,2,12/10/2010 00:00,12/10/2010 00:00
114,"cbel.com",10719,202819,1,2,1100806,16365163,297556,09/01/2008 00:00,10/08/2013 00:00,"50.112.240.103","50.112.240.0","US","com",39,29,2,07/10/2011 00:00,07/10/2011 00:00
115,"rvparking.com",1344,206046,1,2,36187,567431,260063,03/04/2008 00:00,10/08/2013 00:00,"74.84.128.215","74.84.128.0","US","com",31,22,2,16/08/2010 00:00,31/01/2013 00:00
116,"chinaurls.com",1054,247770,1,2,525792,457498,156306,19/11/2009 00:00,10/08/2013 00:00,"61.191.55.206","61.191.55.0","CN","com",21,20,2,24/04/2013 00:00,24/04/2013 00:00
117,"seekon.com",14206,261932,1,2,362771,224354,113069,09/01/2008 00:00,10/08/2013 00:00,"216.93.171.204","216.93.171.0","US","com",37,37,2,25/05/2009 00:00,09/03/2012 00:00
118,"travelersdigest.com",17392,339775,1,2,135204,26650,19170,09/01/2008 00:00,10/08/2013 00:00,"50.63.32.1","50.63.32.0","US","com",40,21,2,01/06/2008 00:00,10/04/2012 00:00
119,"anmeiqi.com",2459,343436,1,2,1698171,8591522,484486,28/03/2008 00:00,10/08/2013 00:00,"58.30.249.107","58.30.249.0","CN","com",52,15,2,27/07/2012 00:00,27/07/2012 00:00
120,"sxzhanz.com",777,388956,1,2,30894,275807,138777,27/09/2011 00:00,10/08/2013 00:00,"116.255.212.59","116.255.212.0","CN","com",26,23,2,28/03/2013 00:00,28/03/2013 00:00
121,"lenon.com",9325,500067,1,2,5365196,5485590,436935,09/01/2008 00:00,10/08/2013 00:00,"69.73.142.131","69.73.142.0","US","com",32,35,2,24/04/2013 00:00,24/04/2013 00:00
122,"geniusbot.com",767,529664,1,2,41484,1633414,450676,03/10/2009 00:00,16/06/2013 00:00,"176.9.29.235","176.9.29.0","DE","com",15,3,2,13/10/2011 00:00,03/11/2011 00:00
123,"webformation.co",375,564547,1,2,20363,163320,87177,17/11/2012 00:00,10/07/2013 00:00,"108.162.198.50","108.162.198.0","US","co",10,19,2,27/03/2013 00:00,27/03/2013 00:00
124,"medicineonline.com",12025,579108,1,2,261274,726628,443521,09/01/2008 00:00,10/08/2013 00:00,"208.65.251.180","208.65.251.0","US","com",37,46,2,31/07/2009 00:00,10/01/2013 00:00
125,"kub.it",4048,595237,1,2,39707,2721786,879387,09/01/2008 00:00,10/08/2013 00:00,"85.94.196.130","85.94.196.0","IT","it",31,30,2,29/10/2008 00:00,04/02/2013 00:00
126,"rvwest.com",13055,686702,1,2,173197,19604,16741,02/02/2008 00:00,10/08/2013 00:00,"98.129.229.184","98.129.229.0","US","com",32,36,2,10/11/2011 00:00,06/06/2012 00:00
